,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,del_Z_score_c_scaled,del_tier1_c_scaled,del_roa_scaled,del_leverage_scaled,del_tobinq_scaled,del_eps_scaled,year1_Z_score_c_scaled,year2_Z_score_c_scaled,year1_tier1_c_scaled,year2_tier1_c_scaled,year1_roa_scaled,year2_roa_scaled,year1_leverage_scaled,year2_leverage_scaled,year1_tobinq_scaled,year2_tobinq_scaled,year1_eps_scaled,year2_eps_scaled,cik_year1,cik_year2,year1,year2,year1_len,year2_len,jac_sim,cv_sim,tfidf_sim,tfidf+lsa_sim_20,tfidf+lsa_sim_128,tfidf+lsa_sim_512,d2v_w2v_sim,d2v_glove_sim,d2v_fast_sim,fuz_sim,d2v_w2v_cor,d2v_fast_corr,cv_corr,tfidf_corr,tfidf+lsa_20_corr,tfidf+lsa_128_corr,tfidf+lsa_512_corr,d2v_glove_corr
121,121,121,121,121,121,121,121,121,121,121,0.00868480750324219,0.0016701841289662456,0.0006622034413460153,-3.0202869955586742e-05,0.006625933717198162,0.003714884020209585,0.015539419760135224,0.024224227263377408,0.259297980456078,0.26096816458504424,0.15701507485801194,0.15767727829935796,0.9276781060404944,0.9276479031705388,0.10413400617870157,0.11075993989589973,0.8620003331162837,0.8657152171364932,1036070_2011,1036070_2012,2011,2012,27463,25829,0.8623629719853837,0.915620447444038,0.9072589186653496,0.926831669909812,0.921162251661976,0.9190767973124808,0.8613855838775635,0.8670588135719299,0.8615170121192932,0.31,0.8611391099021796,0.8614888274703654,0.969505631395351,0.9116554222938424,0.9870389695094992,0.9836595232070128,0.959286593354708,0.8670014053168797
122,122,122,122,122,122,122,122,122,122,122,0.0009142203740861633,0.0035282238888938444,-8.075920565095429e-05,-0.0001347210623635631,-0.0055391708038322746,0.00013185420639783008,0.00891693992286827,0.009831160296954434,0.24772119195761466,0.2512494158465085,0.15815466031334827,0.1580739011076973,0.929374859784593,0.9292401387222294,0.12420524444337595,0.11866607363954368,0.8718840588256276,0.8720159130320254,715579_2010,715579_2011,2010,2011,29558,34976,0.8477043673012318,0.9827750189708484,0.9818508258822882,0.9977013981596858,0.9936235469486664,0.9905227697564898,0.9506048560142516,0.9479864835739136,0.9450910091400146,0.48,0.9508515822564249,0.9455881006816408,0.9931296101807688,0.9835880179085176,0.9986563899798124,0.9966373167252952,0.9937167151345468,0.9482807080563138
123,123,123,123,123,123,123,123,123,123,123,-0.002098254197673252,-0.015132353258273725,0.000837195090428039,-0.00017698271503818752,0.002378929906598215,0.007442575900150738,0.007087290221687052,0.0049890360240138,0.2666681353070873,0.25153578204881355,0.1569646116191129,0.15780180670954094,0.9282912475816242,0.928114264866586,0.14196190361706473,0.14434083352366295,0.8720411069643568,0.8794836828645075,90498_2013,90498_2014,2013,2014,47829,46772,0.8504577822990844,0.99153547132298,0.9697063407390094,0.9990593792787184,0.9962620115290716,0.9878462189136312,0.9424471259117126,0.939643144607544,0.940962553024292,0.42,0.942491958285724,0.9409425250633846,0.9763739446513132,0.8771013862518626,0.9936843684984982,0.9887395994946886,0.9374501445576716,0.9395966020738048
124,124,124,124,124,124,124,124,124,124,124,0.00018864698095749925,-0.011504980574563369,0.011575608264554366,-0.006062533294279415,0.02544015194316554,0.0652883768857212,0.0012685509033456,0.0014571978843030992,0.1947909289802167,0.18328594840565327,0.13550440309581027,0.14708001136036464,0.934481583042652,0.9284190497483726,0.11720788084963155,0.14264803279279709,0.7294745966960855,0.7947629735818067,357264_2009,357264_2010,2009,2010,56992,72082,0.7035294117647058,0.9740668377432492,0.9516460161303736,0.9919197981424768,0.983743747841448,0.9780478381808998,0.8454304933547974,0.8456674218177795,0.8464708924293518,0.28,0.8461158386931545,0.8465157603064429,0.9513348017160248,0.9189506884198012,0.9896035064148296,0.9696548742954983,0.9463347380577688,0.8457283013019855
125,125,125,125,125,125,125,125,125,125,125,0.01867803448348342,0.005620053312768021,-0.00977260191022064,0.0002682889088659879,0.0006939763670678334,-0.04741603306800191,0.001407132192271876,0.020085166675755297,0.16413204443905832,0.16975209775182634,0.16801318975504878,0.15824058784482814,0.9279283172994532,0.9281966062083192,0.1442283571145223,0.14492233348159014,0.9152316451514962,0.8678156120834943,857855_2013,857855_2014,2013,2014,54335,47838,0.8140900195694716,0.9799343870993495,0.9251909677715272,0.9952864365697698,0.9890735700285922,0.9431071321369116,0.8937149047851562,0.8970287442207336,0.8954232335090637,0.1,0.8937047895859761,0.8954291353109941,0.9916383870629224,0.9797681935706148,0.9988067848517116,0.9942478354065556,0.9903045531846616,0.8969823649629771
126,126,126,126,126,126,126,126,126,126,126,-0.0007408127990554678,-0.0037685259228908696,-0.0007153696657348774,2.829937735637777e-05,0.01859718953226996,-0.00111805858672398,0.0063483431718062144,0.005607530372750747,0.23659364429170776,0.2328251183688169,0.15855072490824798,0.1578353552425131,0.9279470171939984,0.9279753165713548,0.13925012201132364,0.1578473115435936,0.8655542391429024,0.8644361805561784,1084717_2015,1084717_2016,2015,2016,32580,32405,0.8942189421894219,0.9823425978323056,0.9483292260828212,0.9956921733988504,0.9897427557073472,0.9719235391701692,0.9360193014144896,0.9385170340538025,0.9343703389167786,0.54,0.935945655318908,0.9343613800029212,0.9901786061134004,0.9772265417184608,0.9983831208289548,0.9957551593261392,0.9908951068493479,0.938131391710808
127,127,127,127,127,127,127,127,127,127,127,0.001674132445004417,0.003501403808331139,0.0011797828799226526,0.0008013457399567159,0.006041844955462825,0.00560269197378549,0.004195559319422821,0.005869691764427238,0.14954362669324034,0.15304503050157148,0.15533361348463434,0.156513396364557,0.9292933665776116,0.9300947123175684,0.10998651071656113,0.11602835567202395,0.8532876069672299,0.8588902989410154,1096654_2012,1096654_2013,2012,2013,15565,15000,0.8013029315960912,0.9803388644221004,0.9652728325288176,0.9967569310045852,0.9921393473000192,0.9865856069903516,0.8530685901641846,0.8277157545089722,0.8422880768775941,0.52,0.8530303144591098,0.8419380947211882,0.984548281537678,0.9592526584185967,0.9976991534281584,0.9927231201344198,0.9875828877058268,0.8295487564390414
128,128,128,128,128,128,128,128,128,128,128,0.003800209500884869,0.0029489162258716506,0.0005160845902195399,-0.0003037707416136959,0.009927824111360823,0.003187603968309749,0.007934046373311632,0.0117342558741965,0.2395698578025027,0.24251877402837435,0.15603711305582735,0.1565531976460469,0.9296263751777905,0.9293226044361768,0.10421202803255243,0.11413985214391326,0.8577133542296781,0.8609009581979878,855574_2011,855574_2012,2011,2012,23123,21782,0.8217054263565892,0.9744021786916832,0.941995477577362,0.9925688891253364,0.9730918533378896,0.963913502280298,0.8761407136917114,0.8682906031608582,0.8769689798355103,0.52,0.8762321816826776,0.877004721537952,0.9778637064947016,0.9106119597321878,0.9921588121324182,0.9666805437109895,0.9479374810431468,0.8689030245118295
129,129,129,129,129,129,129,129,129,129,129,0.005135232020263757,0.003216357389902086,0.0012346636586283433,0.00023158446625171078,0.010751667648366978,0.0026047857305673268,0.003510816913969781,0.008646048934233538,0.1771241529521419,0.18034051034204399,0.1555685038045192,0.15680316746314754,0.9279104282216032,0.9281420126878548,0.10033680414477876,0.11108847179314574,0.8534094562327124,0.8560142419632797,1323648_2011,1323648_2012,2011,2012,35366,31902,0.8734643734643734,0.9900506149481334,0.9603258168799742,0.9996276126948486,0.9957319408906528,0.9702719385842952,0.8850696682929993,0.8839740753173828,0.8829631805419922,0.5,0.8851156561663482,0.8831238640599655,0.9935715910764952,0.9774313122485776,0.9994371963753572,0.9970264218508368,0.9930400829034424,0.8845867850564445
130,130,130,130,130,130,130,130,130,130,130,0.0005334717299097216,0.0003031499229963208,0.0009175229413546648,-0.00027330835533767583,0.013571682794600248,0.006343207438337607,0.002568040659998935,0.003101512389908657,0.20477987725349936,0.20508302717649568,0.15422985582912324,0.1551473787704779,0.9282867954814928,0.9280134871261552,0.11206160045198282,0.12563328324658307,0.8464452108139178,0.8527884182522554,889936_2009,889936_2010,2009,2010,59878,56450,0.7428101889893179,0.9805952950792418,0.9598998883135338,0.9968861111923741,0.9906357424803997,0.982497190208904,0.8598175644874573,0.8523168563842773,0.8578224182128906,0.12,0.8597647606011919,0.8591976507701535,0.9871981942717434,0.9720250121125584,0.997620849892533,0.99359194755874,0.9888062804329064,0.8513671350349551
131,131,131,131,131,131,131,131,131,131,131,0.00451394361036718,0.0021205071394697905,0.001182603649255376,0.00014253170771083568,0.0006599334046568511,0.009726282128116215,0.0034729975306929607,0.00798694114106014,0.20205099557475767,0.20417150271422746,0.1566771648950359,0.15785976854429126,0.9284445640799376,0.9285870957876484,0.11698442438303144,0.11764435778768828,0.8652400182403143,0.8749663003684305,1073475_2013,1073475_2014,2013,2014,18574,18913,0.94679186228482,0.9969829975872144,0.994599634446337,0.9990524100917932,0.9982463080099826,0.9975825164302295,0.9375447034835817,0.9407403469085693,0.9335793852806092,0.08,0.937548409687156,0.9334492846435821,0.976693044870518,0.9464516879747258,0.9931677309375496,0.9900114082300068,0.9853888798318208,0.9404571725320512
132,132,132,132,132,132,132,132,132,132,132,-0.0213465562250574,0.00132784728474164,-0.0011086645997480935,-0.001241295745011639,0.0020668117178953005,-0.017179257469826292,0.025345230785041084,0.003998674559983682,0.2443471939925949,0.2456750412773365,0.15819522390517632,0.15708655930542822,0.9310815459013564,0.9298402501563447,0.1314970200387071,0.1335638317566024,0.8976613405052981,0.8804820830354718,750686_2014,750686_2015,2014,2015,39430,37694,0.8123044838373306,0.9828036730795308,0.9700590474480372,0.997899545315894,0.9932735993249112,0.987189386313934,0.893066942691803,0.8808605670928955,0.8924153447151184,0.23,0.8929424171205637,0.8924217249387549,0.98343754835408,0.9814754833069818,0.99648360503045,0.990165857025876,0.9874284107686392,0.8824895023384483
133,133,133,133,133,133,133,133,133,133,133,0.00520709994626852,-0.0015717545030386193,0.0002052838258640166,-3.154079022071876e-05,-0.0021259733859043672,-0.01859767845359684,0.015459919829899438,0.020667019776167958,0.2265052489708833,0.2249334944678447,0.15814980764288422,0.15835509146874824,0.9278333635252664,0.9278018227350456,0.14102377958624335,0.13889780620033898,0.8970087894022722,0.8784111109486754,1521951_2014,1521951_2015,2014,2015,42481,43237,0.9132321041214748,0.9895442711700588,0.910220614354326,0.99966508203195,0.9982654634472348,0.9678635433742574,0.9602517485618592,0.9571144580841064,0.9608550667762756,0.48,0.9606824170570664,0.9609026585541236,0.9941712303059516,0.9894072963037792,0.997971033889896,0.9957872293415057,0.9937534129876748,0.957284616102795
134,134,134,134,134,134,134,134,134,134,134,-0.005233703196287765,0.003200040039338714,0.00018866814154516742,2.781178138233642e-05,-0.004876552428806621,0.0033565683442643435,0.009315307561326144,0.004081604365038379,0.2249117948697704,0.2281118349091091,0.15720198799783905,0.15739065613938422,0.9302253112928872,0.9302531230742696,0.12797963192248968,0.12310307949368306,0.8723627995052069,0.8757193678494712,920112_2010,920112_2011,2010,2011,42474,42474,1.0,0.9999999999999996,1.0000000000000004,1.0,1.0000000000000004,1.0000000000000002,0.9466221928596495,0.9506487250328064,0.950328290462494,0.37,0.9468302125728054,0.9500696539432424,0.9895135601142654,0.9794506651968464,0.9961778297808512,0.9907811257184338,0.98701291689636,0.9506050336593772
